Year,Income bracket,Tax Rate
1952,0.0,22.2
1952,18378.439502450055,24.6
1952,36756.87900490011,29.0
1952,55135.318507350166,34.0
1952,73513.75800980022,38.0
1952,91892.19751225028,42.0
1952,110270.63701470033,48.0
1952,128649.07651715037,53.0
1952,147027.51601960044,56.0
1952,165405.9555220505,59.0
1952,183784.39502450055,62.0
1952,202162.8345269506,66.0
1952,238919.71353185072,67.0
1952,294055.0320392009,68.0
1952,349190.350546551,72.0
1952,404325.6690539012,75.0
1952,459460.9875612514,77.0
1952,551353.1850735017,80.0
1952,643245.3825857519,83.0
1952,735137.5800980022,85.0
1952,827029.7776102525,88.0
1952,918921.9751225028,90.0
1952,1378382.9626837543,91.0
1952,1837843.9502450055,92.0
1953,0.0,22.2
1953,18213.672020918937,24.6
1953,36427.344041837874,29.0
1953,54641.01606275682,34.0
1953,72854.68808367575,38.0
1953,91068.3601045947,42.0
1953,109282.03212551364,48.0
1953,127495.70414643257,53.0
1953,145709.3761673515,56.0
1953,163923.04818827045,59.0
1953,182136.7202091894,62.0
1953,200350.39223010832,66.0
1953,236777.7362719462,67.0
1953,291418.752334703,68.0
1953,346059.7683974598,72.0
1953,400700.78446021664,75.0
1953,455341.80052297347,77.0
1953,546410.1606275681,80.0
1953,637478.5207321629,83.0
1953,728546.8808367576,85.0
1953,819615.2409413522,88.0
1953,910683.6010459469,90.0
1953,1366025.4015689204,91.0
1953,1821367.2020918939,92.0
1954,0.0,20.0
1954,18098.737936154415,22.0
1954,36197.47587230883,26.0
1954,54296.213808463246,30.0
1954,72394.95174461766,34.0
1954,90493.68968077208,38.0
1954,108592.42761692649,43.0
1954,126691.16555308092,47.0
1954,144789.90348923532,50.0
1954,162888.64142538974,53.0
1954,180987.37936154415,56.0
1954,199086.1172976986,59.0
1954,235283.5931700074,62.0
1954,289579.80697847065,65.0
1954,343876.0207869339,69.0
1954,398172.2345953972,72.0
1954,452468.4484038604,75.0
1954,542962.1380846325,78.0
1954,633455.8277654045,81.0
1954,723949.5174461766,84.0
1954,814443.2071269486,87.0
1954,904936.8968077208,89.0
1954,1357405.345211581,90.0
1954,1809873.7936154415,91.0
1955,0.0,20.0
1955,36509.17259453388,22.0
1955,73018.34518906775,26.0
1955,109527.51778360165,30.0
1955,146036.6903781355,34.0
1955,182545.8629726694,38.0
1955,219055.0355672033,43.0
1955,255564.20816173716,47.0
1955,292073.380756271,50.0
1955,328582.55335080496,53.0
1955,365091.7259453388,56.0
1955,401600.89853987267,59.0
1955,474619.24372894043,62.0
1955,584146.761512542,65.0
1955,693674.2792961437,69.0
1955,803201.7970797453,72.0
1955,912729.314863347,75.0
1955,1095275.1778360165,78.0
1955,1277821.0408086858,81.0
1955,1460366.9037813551,84.0
1955,1642912.7667540247,87.0
1955,1825458.629726694,89.0
1955,2738187.944590041,90.0
1955,3650917.259453388,91.0
1956,0.0,20.0
1956,35917.495395948434,22.0
1956,71834.99079189687,26.0
1956,107752.48618784531,30.0
1956,143669.98158379373,34.0
1956,179587.47697974218,38.0
1956,215504.97237569062,43.0
1956,251422.46777163906,47.0
1956,287339.96316758747,50.0
1956,323257.4585635359,53.0
1956,359174.95395948435,56.0
1956,395092.44935543276,59.0
1956,466927.4401473297,62.0
1956,574679.9263351749,65.0
1956,682432.4125230203,69.0
1956,790184.8987108655,72.0
1956,897937.3848987109,75.0
1956,1077524.861878453,78.0
1956,1257112.3388581953,81.0
1956,1436699.8158379374,84.0
1956,1616287.2928176797,87.0
1956,1795874.7697974218,89.0
